State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
Total (All India),2012,135445.0,88453.0,46992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043,4572,13089,25967,31205,26641,840,31088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,95264,30557,3283,4951,0.0,135445.0,0.0,0.0,135445.0
Total (States),2001,106475.0,65098.0,41377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,1831,6556,16063,24195,28394,599,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,73634,23579,3016,4896,0.0,106475.0,0.0,0.0,106475.0
Total (States),2002,108499.0,68088.0,40411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1736,7102,17518,24877,28150,409,27624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356,74010,23740,3075,6318,0.0,108499.0,0.0,0.0,108499.0
Total (States),2003,108822.0,68905.0,39917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,2050,8175,17960,25017,25713,458,28555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,75799,23529,2909,5463,0.0,108822.0,0.0,0.0,108822.0
Total (States),2004,111653.0,71356.0,40297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,1972,8510,18651,26088,26668,620,28314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194,78320,23954,3474,4711,0.0,111653.0,0.0,0.0,111653.0
Total (States),2005,111802.0,71584.0,40218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,1981,8252,18642,26689,25855,393,28937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,79259,23302,3079,5041,0.0,111802.0,0.0,0.0,111802.0
Total (States),2006,115815.0,74203.0,41612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,2119,10181,20986,28243,24820,361,28127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,83784,23751,2577,4602,0.0,115815.0,0.0,0.0,115815.0
Total (States),2007,120307.0,77799.0,42508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055,2278,9726,21022,28932,26419,347,30528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,86071,24793,3292,4983,0.0,120307.0,0.0,0.0,120307.0
Total (States),2008,122902.0,79213.0,43689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,2705,10843,21873,28967,25682,473,31380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,86470,27041,2692,5300,0.0,122902.0,0.0,0.0,122902.0
Total (States),2009,124870.0,80037.0,44833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,2802,10964,23119,29378,26957,986,29520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242,87949,27184,3025,5470,0.0,124870.0,0.0,0.0,124870.0
Total (States),2010,132226.0,85687.0,46539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316,3166,11222,23788,30082,26408,1172,35072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,91626,30142,3853,5104,0.0,132226.0,0.0,0.0,132226.0
Total (States),2011,132975.0,86065.0,46910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,3322,11821,24802,32187,26805,692,31994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,93312,29883,3629,4875,0.0,132975.0,0.0,0.0,132975.0
Total (States),2012,132667.0,86613.0,46054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,4439,12694,25118,30493,26341,820,30742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,93458,29686,3218,4920,0.0,132667.0,0.0,0.0,132667.0
Total (Uts),2001,2031.0,1216.0,815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,39,191,321,715,331,5,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1489,484,28,29,0.0,2031.0,0.0,0.0,2031.0
Total (Uts),2002,1918.0,1244.0,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,40,129,422,605,292,9,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1335,511,36,33,0.0,1918.0,0.0,0.0,1918.0
Total (Uts),2003,2029.0,1316.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,54,180,582,486,251,4,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1349,608,43,24,0.0,2029.0,0.0,0.0,2029.0
Total (Uts),2004,2044.0,1295.0,749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,46,136,609,635,248,9,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1348,638,26,29,0.0,2044.0,0.0,0.0,2044.0
Total (Uts),2005,2112.0,1332.0,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,53,149,482,629,379,13,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1412,608,62,30,0.0,2112.0,0.0,0.0,2112.0
Total (Uts),2006,2297.0,1499.0,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,80,230,468,734,345,5,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1537,668,69,22,0.0,2297.0,0.0,0.0,2297.0
Total (Uts),2007,2330.0,1496.0,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,74,264,527,762,353,4,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1586,661,56,25,0.0,2330.0,0.0,0.0,2330.0
Total (Uts),2008,2115.0,1331.0,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,72,251,515,712,238,17,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1393,603,45,66,0.0,2115.0,0.0,0.0,2115.0
Total (Uts),2009,2281.0,1434.0,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,84,230,601,766,281,23,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1543,617,63,52,0.0,2281.0,0.0,0.0,2281.0
Total (Uts),2010,2373.0,1493.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,98,297,793,475,294,25,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1581,668,64,44,0.0,2373.0,0.0,0.0,2373.0
Total (Uts),2011,2610.0,1774.0,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,100,410,855,592,233,11,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1703,780,75,45,0.0,2610.0,0.0,0.0,2610.0
Total (Uts),2012,2778.0,1840.0,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,133,395,849,712,300,20,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1806,871,65,31,0.0,2778.0,0.0,0.0,2778.0
Tripura,2001,854.0,463.0,391.0,0,,18,9,79,17,7,0,0,34,0,382,0,5,0,28,68,,0,152,21,13,0,16,0,0,5,0,0,0,11,28,199,169,3,444,120,310,15,0,0,351,0,0,1,1,,44,0,10,0,1,1,41,71,536,13,3,0,51,0,15,70,54,16,520,253,34,31,854.0,854.0,854.0,854.0,854.0
Tripura,2002,779.0,493.0,286.0,,0,14,7,116,5,16,12,0,19,0,139,1,0,6,40,79,15,,194,37,10,0,4,11,0,51,3,4,5,24,48,200,236,1,261,218,106,10,0,0,285,0,0,0,1,154,,2,0,1,0,2,41,104,343,40,32,4,46,34,35,38,58,15,356,279,66,63,779.0,779.0,779.0,775.0,779.0
Tripura,2003,844.0,488.0,356.0,7,,11,5,18,4,7,44,3,22,5,327,0,0,0,3,190,,5,27,5,0,0,69,5,4,18,65,4,18,79,224,107,213,0,199,142,257,23,0,1,283,0,0,1,1,,136,0,0,0,0,0,4,120,49,7,45,8,16,28,27,230,310,4,514,311,8,7,844.0,844.0,844.0,844.0,844.0
Tripura,2004,770.0,433.0,337.0,18,,14,17,37,9,26,15,10,52,11,229,10,18,0,12,101,,11,45,21,12,14,28,8,14,13,25,8,8,50,120,231,98,10,245,125,152,62,1,12,272,0,3,0,0,,122,1,0,0,0,20,15,152,144,31,4,0,33,11,14,110,256,8,384,325,8,45,770.0,770.0,770.0,770.0,770.0
Tripura,2005,715.0,401.0,314.0,40,,41,0,69,0,3,72,5,32,15,132,19,10,0,42,38,,0,88,42,2,0,7,10,6,29,13,6,9,25,94,223,138,1,219,2,287,0,3,35,355,0,1,0,0,,31,1,0,0,0,0,29,104,191,41,34,14,62,33,48,69,90,36,364,226,18,71,715.0,715.0,715.0,715.0,715.0
Tripura,2006,765.0,428.0,337.0,8,,0,0,298,6,0,60,2,23,0,117,0,5,0,14,33,,0,151,17,7,0,0,2,5,12,5,1,1,33,139,195,174,0,222,12,268,23,3,0,363,0,0,0,0,,89,6,0,0,0,1,7,133,431,7,6,0,18,10,7,84,62,0,383,340,0,42,765.0,765.0,765.0,765.0,765.0
Tripura,2007,705.0,419.0,286.0,7,,3,6,304,16,0,56,0,33,0,180,0,0,0,5,39,,0,0,32,0,0,0,5,6,13,0,1,0,45,126,189,151,0,193,43,207,0,7,46,383,0,0,0,0,,19,0,0,0,0,0,0,93,392,0,0,2,63,33,8,70,44,0,517,167,0,21,705.0,705.0,705.0,705.0,705.0
Tripura,2008,752.0,442.0,310.0,0,,0,1,65,0,0,9,0,15,0,337,0,0,0,8,84,,0,172,21,0,0,0,0,2,38,0,0,23,52,142,300,43,1,191,175,137,0,2,56,364,0,0,0,0,,16,0,0,0,2,0,50,130,270,0,2,0,18,15,25,91,151,0,584,159,0,9,752.0,752.0,752.0,752.0,752.0
Tripura,2009,738.0,467.0,271.0,8,,1,6,174,0,0,23,8,13,0,236,0,1,0,41,66,,0,70,40,1,0,8,7,8,17,10,0,7,24,162,374,22,0,149,28,276,8,3,33,379,2,0,0,0,,7,0,0,0,2,0,45,176,263,20,2,0,75,19,19,89,29,0,509,210,3,16,738.0,738.0,738.0,737.0,738.0
Tripura,2010,725.0,441.0,284.0,26,,0,8,177,0,0,36,5,10,0,246,0,2,0,41,55,,4,33,36,2,0,5,2,3,19,15,0,15,9,123,370,32,0,176,37,248,7,1,54,361,4,0,0,0,,12,0,1,0,0,0,58,194,149,30,0,11,87,19,30,106,41,0,524,192,0,9,725.0,725.0,725.0,725.0,725.0
Tripura,2011,703.0,447.0,256.0,0,,0,0,179,0,0,5,2,36,0,257,0,1,0,14,47,,0,89,52,0,0,1,2,0,18,0,0,1,40,82,406,11,0,163,120,125,11,0,7,375,0,0,0,0,,63,2,0,0,0,0,20,140,257,0,0,0,99,3,20,162,2,0,494,169,36,4,703.0,703.0,703.0,703.0,703.0
Tripura,2012,844.0,560.0,284.0,0,,0,0,215,0,2,0,0,13,0,161,0,0,0,12,12,,0,370,46,0,0,0,7,0,4,2,1,0,41,130,402,15,0,255,96,24,47,1,6,401,0,0,0,0,,253,5,0,6,0,5,18,128,525,6,0,0,55,2,6,76,28,0,573,217,34,20,844.0,844.0,844.0,844.0,844.0
Uttar Pradesh,2001,3516.0,1801.0,1715.0,31,,38,34,619,24,20,388,76,81,36,903,6,41,12,143,143,,69,230,211,14,26,74,22,63,104,108,16,113,403,673,829,706,16,760,629,453,161,98,500,1147,36,73,0,8,,142,59,51,28,63,68,688,1075,600,41,46,11,139,57,312,211,336,33,2478,757,98,150,3516.0,3516.0,3516.0,3516.0,3516.0
Uttar Pradesh,2002,4250.0,2326.0,1924.0,,63,33,25,1056,11,27,368,88,91,84,1075,4,14,7,180,148,38,,228,302,7,26,100,24,76,114,61,28,101,404,805,818,1124,20,950,607,464,225,129,625,1259,17,24,80,12,429,,82,77,19,131,70,525,1103,1442,35,36,14,137,30,227,216,485,69,2792,988,98,303,4250.0,4250.0,4250.0,4250.0,4250.0
Uttar Pradesh,2003,3663.0,1987.0,1676.0,39,,27,17,894,8,23,291,85,105,51,828,5,24,52,133,165,,42,230,225,5,14,68,29,79,81,143,41,116,473,620,670,1036,20,687,554,507,181,130,546,1046,69,0,59,16,,262,61,56,41,94,41,387,1073,845,117,62,38,163,60,248,216,454,47,2491,898,66,161,3663.0,3663.0,3663.0,3663.0,3663.0
Uttar Pradesh,2004,3637.0,1954.0,1683.0,59,,20,30,974,9,12,338,94,143,40,630,9,11,18,90,150,,36,384,248,8,16,65,30,47,94,82,66,98,503,754,648,778,26,764,581,389,187,152,455,1076,0,26,70,5,,189,107,93,6,233,68,496,1090,848,87,120,21,127,32,228,201,387,38,2480,874,90,155,3637.0,3637.0,3637.0,3637.0,3637.0
Uttar Pradesh,2005,3449.0,1772.0,1677.0,56,,53,26,1020,11,18,284,91,93,37,523,2,12,10,94,136,,59,260,291,12,19,41,26,47,125,103,30,74,338,592,568,899,19,929,365,304,227,156,459,1061,68,0,114,4,,244,121,57,13,195,61,522,1014,695,64,124,9,228,48,259,219,267,36,2409,783,83,138,3449.0,3449.0,3449.0,3449.0,3449.0
Uttar Pradesh,2006,3099.0,1761.0,1338.0,66,,39,44,674,4,18,316,89,121,26,467,9,10,29,120,130,,58,396,198,13,12,44,18,28,105,65,70,82,330,476,666,827,35,613,404,284,207,108,269,821,44,50,93,5,,438,67,106,0,127,76,411,710,896,87,47,7,169,147,213,171,241,25,2053,813,104,104,3099.0,3099.0,3099.0,3099.0,3099.0
Uttar Pradesh,2007,3927.0,2054.0,1873.0,35,,36,37,995,14,21,378,117,134,44,605,2,12,29,140,182,,53,418,358,7,7,71,22,54,121,35,70,89,514,682,775,997,28,772,489,343,198,137,531,1327,88,0,86,2,,227,65,138,18,219,59,486,974,1205,102,46,6,155,53,234,274,367,55,2558,972,160,182,3927.0,3927.0,3927.0,3902.0,3927.0
Uttar Pradesh,2008,4088.0,2179.0,1909.0,28,,42,45,979,8,23,412,138,130,55,800,1,15,33,177,144,,39,458,291,9,11,52,1,44,98,55,53,101,469,675,771,1130,46,843,633,378,360,162,469,1204,68,0,66,12,,265,112,74,29,153,103,745,1105,1027,31,54,6,203,44,233,354,286,45,2815,978,71,179,4088.0,4088.0,4088.0,4088.0,4088.0
Uttar Pradesh,2009,4158.0,2239.0,1919.0,29,,71,21,1231,18,15,438,101,92,78,673,0,15,8,140,226,,58,258,376,13,32,31,33,57,82,62,66,155,586,735,824,978,39,775,660,306,316,142,525,1253,32,77,77,6,,345,80,44,35,176,84,656,1006,1128,23,73,15,144,49,347,346,371,57,2854,933,92,222,4158.0,4158.0,4158.0,4158.0,4158.0
Uttar Pradesh,2010,3628.0,1787.0,1841.0,19,,53,21,829,2,12,532,87,107,59,700,4,20,1,215,216,,45,221,240,2,7,45,8,38,113,32,48,150,564,691,602,884,35,654,332,435,210,146,547,1133,42,0,56,27,,222,101,52,20,191,114,548,1005,803,67,22,16,191,113,258,317,288,59,2337,979,104,149,3628.0,3628.0,3628.0,3628.0,3628.0
Uttar Pradesh,2011,4843.0,2713.0,2130.0,19,,73,17,909,9,22,439,120,89,34,1371,1,8,19,232,312,,53,520,252,1,12,30,39,72,106,84,52,133,658,1029,961,1127,39,844,329,596,261,84,679,1700,44,0,72,13,,565,89,54,48,242,67,645,1244,1583,122,20,9,132,89,398,259,322,51,3362,1104,132,194,4843.0,4843.0,4843.0,4823.0,4843.0
Uttar Pradesh,2012,4422.0,2495.0,1927.0,17,,51,11,685,23,19,422,124,243,120,1158,8,5,74,216,214,,34,354,235,4,82,47,49,81,69,77,101,301,757,885,810,762,60,746,287,403,248,147,634,1581,55,109,109,9,,240,101,97,66,235,101,745,1077,1064,130,56,10,227,89,470,305,246,71,2762,1143,139,307,4422.0,4422.0,4422.0,4419.0,4422.0
Uttarakhand,2001,311.0,182.0,129.0,5,,0,0,85,0,0,13,8,9,0,17,48,15,0,8,11,,0,40,16,0,0,4,0,2,2,28,6,9,26,104,70,36,2,58,100,28,35,3,20,60,1,0,3,0,,30,11,2,2,11,5,21,64,59,0,2,2,8,20,82,21,32,4,218,80,3,6,311.0,311.0,311.0,311.0,311.0
Uttarakhand,2002,361.0,205.0,156.0,,42,1,0,126,0,0,3,1,5,1,98,5,0,6,8,10,1,,24,15,0,0,2,4,2,4,3,3,17,65,58,73,71,0,74,168,23,31,1,35,66,0,0,0,0,7,,1,3,3,21,2,34,119,102,4,1,5,8,7,27,9,45,4,256,89,2,10,361.0,361.0,361.0,361.0,361.0
Uttarakhand,2003,391.0,262.0,129.0,12,,1,1,148,0,0,14,2,10,1,116,2,1,0,18,19,,0,9,10,0,0,13,1,0,4,9,0,8,64,74,72,45,3,125,97,78,20,8,12,80,0,6,0,0,,6,5,5,65,3,6,41,81,76,10,7,1,11,15,75,17,55,6,246,121,4,14,391.0,391.0,391.0,389.0,391.0
Uttarakhand,2004,237.0,148.0,89.0,15,,0,0,91,0,0,12,2,9,0,58,1,1,0,20,6,,3,1,6,1,0,3,0,0,2,6,2,14,37,47,46,42,4,45,69,33,29,3,21,61,0,0,0,0,,10,3,8,0,0,0,22,63,71,1,0,1,8,7,21,16,27,5,154,60,4,14,237.0,237.0,237.0,237.0,237.0
Uttarakhand,2005,273.0,180.0,93.0,9,,1,3,38,0,1,10,13,9,37,66,0,0,0,18,6,,0,29,12,2,0,2,0,0,3,14,0,15,48,58,62,34,2,54,48,66,7,1,24,77,0,2,1,0,,16,6,6,5,11,3,24,67,51,10,7,3,26,7,20,14,44,3,160,91,3,16,273.0,273.0,273.0,273.0,273.0
Uttarakhand,2006,326.0,173.0,153.0,18,,11,8,43,1,1,9,12,7,7,92,0,2,0,26,6,,8,20,18,4,1,13,1,0,12,6,7,11,46,70,65,69,4,54,87,32,33,1,26,95,0,1,1,0,,0,12,17,8,5,8,51,86,62,9,12,4,23,14,27,14,24,16,180,87,14,29,326.0,326.0,326.0,326.0,326.0
Uttarakhand,2007,248.0,130.0,118.0,10,,10,0,63,2,1,10,9,4,3,60,0,1,0,21,10,,6,8,11,0,0,3,3,0,6,7,3,11,27,61,51,44,3,48,51,34,18,1,19,80,0,1,0,0,,23,10,11,0,0,0,28,67,36,5,19,0,12,7,31,15,26,11,150,56,8,23,248.0,248.0,248.0,246.0,248.0
Uttarakhand,2008,191.0,104.0,87.0,2,,1,0,48,1,0,15,4,3,1,43,0,0,0,10,10,,1,36,2,2,0,4,1,2,4,1,4,10,18,37,36,37,3,46,44,26,18,3,16,55,0,3,0,2,,13,3,1,1,2,4,28,44,47,0,6,3,6,7,23,13,7,3,123,56,3,6,191.0,191.0,191.0,184.0,191.0
Uttarakhand,2009,342.0,202.0,140.0,10,,4,0,41,3,3,22,14,8,6,53,0,1,0,31,31,,3,53,33,2,0,7,6,1,9,1,2,14,51,73,63,66,0,73,73,28,39,4,34,76,3,0,1,0,,58,11,3,0,11,1,30,75,0,34,8,62,10,8,39,40,36,2,233,92,9,6,342.0,342.0,342.0,342.0,342.0
Uttarakhand,2010,281.0,164.0,117.0,8,,0,1,66,0,0,10,6,11,2,81,0,0,0,12,15,,0,25,13,0,0,9,3,0,4,15,8,12,31,81,53,32,6,58,58,53,15,2,24,67,3,1,3,1,,46,3,0,1,2,2,39,54,71,1,1,3,15,14,24,34,22,0,200,73,4,4,281.0,281.0,281.0,278.0,281.0
Uttarakhand,2011,317.0,192.0,125.0,3,,1,0,36,7,6,12,5,12,3,82,0,0,0,7,12,,1,75,23,0,2,6,1,0,12,11,6,22,55,88,51,29,6,60,70,35,35,5,14,92,1,1,1,0,,32,5,0,5,15,6,25,51,83,3,9,4,15,19,37,30,41,3,182,115,7,10,317.0,317.0,317.0,317.0,317.0
Uttarakhand,2012,424.0,249.0,175.0,0,,0,0,142,0,6,0,8,6,1,96,0,0,0,9,15,,1,92,26,0,0,6,2,3,4,7,3,27,95,131,73,38,2,55,0,53,27,5,16,146,0,2,6,0,,97,13,0,54,1,4,14,63,218,1,8,0,20,7,47,20,26,6,256,140,2,20,424.0,424.0,424.0,424.0,424.0
West Bengal,2001,13690.0,7495.0,6195.0,121,,290,207,3727,143,26,265,169,493,104,2207,13,78,271,455,484,,126,2539,728,160,19,35,46,437,327,220,341,410,865,1335,2875,3914,134,3816,1417,3036,654,43,515,3448,250,107,75,80,,2329,148,406,69,916,197,1246,1555,5643,276,742,147,675,303,1420,814,869,512,7942,3881,488,867,13690.0,13690.0,13690.0,13690.0,13690.0
West Bengal,2002,13007.0,7124.0,5883.0,,63,278,252,3559,111,33,286,112,547,88,2448,0,79,50,615,600,120,,2177,663,85,9,57,87,242,331,115,235,265,912,1730,2897,3499,59,3410,1227,2559,682,49,494,3687,163,147,65,94,2799,,101,237,73,459,171,1518,2294,4388,209,619,153,789,254,1166,667,950,345,7542,3690,421,1009,13007.0,13007.0,13007.0,13007.0,13007.0
West Bengal,2003,13280.0,7424.0,5856.0,100,,278,154,1850,172,109,341,19,702,59,3838,10,59,0,836,1061,,77,1759,828,47,27,23,108,444,328,51,75,504,1777,2511,3363,1887,29,3134,1438,3590,662,18,1110,4073,188,110,38,15,,813,117,778,99,215,16,1036,4083,2346,389,1087,248,1010,230,832,1111,908,226,9192,3058,215,589,13280.0,13280.0,13280.0,13280.0,13280.0
West Bengal,2004,13424.0,7661.0,5763.0,90,,129,214,3328,97,98,411,57,625,49,2828,0,47,32,581,884,,29,2338,762,42,8,28,82,298,236,131,43,299,1554,1728,2929,2957,21,3893,542,4147,430,27,467,4339,40,67,40,15,,2545,162,304,39,230,30,822,3352,4645,295,717,231,772,151,674,809,871,233,8687,3354,570,580,13424.0,13424.0,13424.0,13339.0,13424.0
West Bengal,2005,15015.0,8614.0,6401.0,134,,148,179,2753,144,67,469,90,582,785,2833,2,35,17,735,1039,,75,3209,623,45,5,23,143,568,237,75,266,365,1450,2119,3288,2903,17,4607,930,4921,474,16,812,5335,78,36,38,22,,1581,89,418,8,205,52,965,4155,4371,352,517,227,1000,184,1364,731,1149,300,10530,3071,434,680,15015.0,15015.0,15015.0,15015.0,15015.0
West Bengal,2006,15725.0,9120.0,6605.0,68,,194,204,1758,252,87,445,157,686,289,6147,13,100,16,1150,1533,,57,57,786,64,51,12,186,1130,256,27,150,489,2647,3632,3564,1272,59,3912,2095,3964,719,27,971,6396,52,277,211,32,,16,232,298,28,382,25,1189,5020,2185,776,855,343,1451,199,818,1141,1748,324,11900,2594,219,688,15725.0,15725.0,15725.0,15725.0,15725.0
West Bengal,2007,14860.0,8505.0,6355.0,93,,253,156,3388,50,66,999,81,349,88,3232,0,43,38,1378,675,,147,1677,738,26,11,68,207,271,345,481,39,376,1067,2079,3245,3136,41,4877,2888,2938,323,24,357,5169,209,21,62,14,,1670,237,180,12,678,78,1102,3362,4956,266,739,111,1197,140,682,1138,1167,230,10014,3362,551,703,14860.0,14860.0,14860.0,14860.0,14860.0
West Bengal,2008,14852.0,8369.0,6483.0,79,,141,186,3368,211,69,762,101,322,77,3085,0,45,0,1402,792,,52,2556,581,48,28,54,89,211,249,344,44,319,1120,1937,3854,2413,44,5121,2316,3418,387,28,345,5359,53,6,68,38,,1922,147,129,7,457,172,759,3244,5713,247,622,73,934,145,618,940,1557,176,9447,4424,193,612,14852.0,14852.0,14852.0,14852.0,14852.0
West Bengal,2009,14648.0,8494.0,6154.0,89,,104,140,4051,71,56,726,69,275,149,3338,2,28,1,1357,812,,64,1579,489,43,3,44,268,298,164,428,62,395,1006,2137,3803,2662,34,4549,1602,3668,402,25,361,5283,61,466,78,35,,1880,76,123,39,479,70,1054,3305,4768,208,607,88,1338,239,816,870,1355,223,9654,3934,248,589,14648.0,14648.0,14648.0,14648.0,14648.0
West Bengal,2010,16037.0,9301.0,6736.0,96,,129,71,4427,102,67,767,81,412,92,2882,6,23,1,1757,785,,37,2683,466,63,6,43,100,262,217,462,97,327,1026,1867,3567,2119,49,6985,2158,2364,547,17,599,5058,113,278,77,56,,3913,57,113,28,529,130,993,2928,7052,501,668,66,888,160,803,949,1029,211,10269,4707,335,515,16037.0,16037.0,16037.0,16037.0,16037.0
West Bengal,2011,16492.0,9624.0,6868.0,124,,162,100,4902,59,88,930,94,378,88,3047,0,31,2,1298,941,,17,2354,381,44,7,4,187,405,343,506,53,296,1075,2443,4755,2389,41,5440,1628,3326,427,54,368,5457,68,120,47,9,,4007,82,96,14,684,105,807,2955,6913,414,692,72,1156,123,748,1034,1578,274,10487,4691,380,660,16492.0,16492.0,16492.0,16492.0,16492.0
West Bengal,2012,14957.0,8680.0,6277.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,47,413,897,1994,4139,2205,95,5167,1383,2919,474,28,788,5064,27,69,155,3,,3473,70,100,105,299,0,0,0,0,0,0,0,0,0,0,0,0,371,9378,4171,349,688,0.0,14957.0,14957.0,0.0,14957.0
